ai_budget_percentage,revenue_growth_percent,industry,company_size,region,ai_adoption_stage
3.87,2.54,Retail,Startup,Oceania,pilot
7.32,9.34,Manufacturing,SME,South America,pilot
5.86,4.22,Consulting,Startup,Asia,pilot
4.96,-0.33,Consulting,SME,Africa,pilot
7.67,0.53,Agriculture,Startup,South America,partial
9.09,6.31,Healthcare,SME,Europe,partial
4.18,-4.32,Agriculture,Startup,South America,pilot
11.29,2.92,Finance,Enterprise,Asia,partial
8.36,-2.29,Education,SME,Oceania,partial
7.72,8.99,Manufacturing,Startup,Europe,partial
15.58,10.99,Education,SME,Africa,partial
14.44,12.24,Manufacturing,Enterprise,Asia,partial
8.29,3.31,Healthcare,Startup,North America,partial
15.3,6.93,Retail,Enterprise,Europe,partial
4.82,0.57,Healthcare,SME,Europe,partial
10.97,3.63,Finance,SME,Europe,partial
7.42,0.23,Retail,SME,South America,pilot
7.85,6.21,Healthcare,SME,Africa,pilot
14.14,9.26,Agriculture,Enterprise,Europe,partial
4.82,12.88,Consulting,SME,Asia,pilot
9.82,2.93,Healthcare,SME,Asia,partial
7.71,8.26,Retail,SME,Europe,pilot
5.44,-2.23,Healthcare,SME,Africa,pilot
14.12,6.67,Healthcare,SME,Asia,partial
10.31,-3.52,Finance,Startup,North America,pilot
8.87,9.84,Manufacturing,Startup,Africa,pilot
5.14,6.36,Healthcare,SME,North America,pilot
9.07,3.32,Agriculture,SME,Asia,pilot
13.97,16.34,Finance,SME,Asia,partial
8.44,3.33,Manufacturing,Startup,Africa,pilot
8.92,13.61,Healthcare,SME,Europe,partial
8.14,0.03,Finance,SME,Europe,partial
7.69,7.54,Manufacturing,Startup,Europe,partial
6.97,5.2,Technology,Startup,Europe,pilot
11.47,10.53,Manufacturing,Startup,Oceania,pilot
9.15,4.28,Education,Startup,South America,partial
7.73,9.1,Consulting,Startup,South America,partial
5.95,-2.75,Technology,SME,Europe,pilot
11.96,7.04,Healthcare,SME,Africa,partial
14.96,21.87,Logistics,Startup,North America,full
12.91,5.88,Manufacturing,Startup,Oceania,partial
3.5,8.24,Logistics,SME,Europe,pilot
8.13,0.93,Manufacturing,SME,Europe,pilot
10.99,4.76,Consulting,SME,Asia,partial
2.89,4.33,Healthcare,Startup,Asia,pilot
9.89,0.12,Retail,Enterprise,Asia,pilot
10.61,-2.79,Technology,SME,Asia,partial
9.23,4.22,Education,SME,Asia,pilot
4.79,-1.0,Logistics,Startup,Europe,pilot
7.94,14.53,Finance,Enterprise,Europe,partial
15.62,12.35,Technology,SME,Asia,partial
3.81,2.06,Healthcare,SME,North America,pilot
7.91,1.7,Education,Startup,South America,pilot
14.61,-1.94,Technology,Enterprise,South America,partial
3.66,2.63,Retail,SME,South America,pilot
7.35,3.26,Healthcare,Startup,Asia,pilot
6.66,-5.0,Manufacturing,SME,Asia,partial
9.74,1.69,Technology,Startup,Europe,partial
3.63,-4.39,Consulting,Startup,Europe,pilot
6.21,4.56,Logistics,Enterprise,Africa,pilot
7.5,-0.11,Manufacturing,SME,South America,pilot
16.0,10.98,Consulting,Startup,South America,partial
11.19,2.66,Consulting,SME,Oceania,partial
12.03,2.64,Finance,SME,South America,partial
10.77,3.21,Finance,SME,Europe,partial
9.75,5.96,Technology,SME,Europe,partial
1.27,-3.4,Finance,Startup,South America,none
14.99,4.16,Education,Enterprise,Asia,partial
9.72,-0.99,Education,Startup,North America,pilot
8.06,-3.39,Healthcare,SME,Africa,partial
6.86,-3.02,Finance,Startup,Asia,pilot
11.62,8.45,Agriculture,SME,Europe,partial
16.33,6.07,Technology,Enterprise,South America,partial
9.41,2.03,Healthcare,Startup,Europe,pilot
3.93,-5.0,Manufacturing,Startup,South America,pilot
5.51,8.79,Finance,Startup,Africa,partial
10.55,0.47,Agriculture,Startup,Europe,pilot
10.96,3.56,Technology,SME,Europe,pilot
5.52,-0.61,Healthcare,SME,Asia,pilot
8.97,13.34,Agriculture,Startup,Europe,partial
12.62,16.55,Finance,Startup,Asia,partial
11.11,9.46,Agriculture,Enterprise,Europe,pilot
12.35,2.55,Logistics,SME,Europe,partial
15.86,10.59,Finance,Startup,Oceania,partial
22.87,1.28,Technology,Enterprise,Africa,full
2.45,1.22,Consulting,Enterprise,Africa,pilot
5.07,-2.92,Healthcare,SME,Africa,pilot
10.2,1.27,Technology,Startup,Asia,partial
17.59,14.43,Agriculture,SME,Europe,partial
8.09,2.95,Agriculture,Startup,Europe,partial
7.35,9.09,Healthcare,Enterprise,Africa,pilot
5.19,3.83,Manufacturing,Startup,Asia,pilot
6.55,3.82,Technology,SME,North America,pilot
8.57,9.1,Education,Startup,Asia,partial
9.26,6.54,Retail,Startup,North America,partial
7.22,9.06,Agriculture,SME,Europe,pilot
8.84,4.01,Finance,SME,Oceania,pilot
9.31,0.55,Agriculture,Enterprise,Europe,pilot
6.8,14.16,Consulting,Startup,Asia,pilot
3.39,3.37,Agriculture,SME,Asia,pilot
9.57,8.87,Finance,Startup,Europe,partial
8.49,5.9,Manufacturing,Startup,Africa,pilot
10.2,5.38,Healthcare,Enterprise,Asia,partial
12.24,5.84,Manufacturing,Startup,Asia,partial
